STT,Tên cơ sở,Sao ,Địa chỉ,Giá từ,Đánh giá,Mô tả,Phân khúc
11,LengKeng Da Lat Homestay,Không xếp hạng sao,"57/4 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 2 km)",1.000.000 VNĐ,4,"Homestay phong cách trẻ trung, không gian gần gũi, phù hợp nhóm bạn.",
12,Phong Lữ Homestay Đà Lạt,Không xếp hạng sao,"Hẻm 4 Khe Sanh, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 3 km)",1.000.000 VNĐ,"4,6","Homestay ấm cúng với không gian yên tĩnh, mang lại cảm giác như ở nhà.",
13,Vũ Homestay Đà Lạt,Không xếp hạng sao,"25/34/3, Đường Nhà Chung, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 1 km)",1.000.000 VNĐ,"4,9","Homestay sạch đẹp, được đánh giá cao về dịch vụ và sự thân thiện.",
14,Lost in DaLat Homestay,Không xếp hạng sao,"LK41 KQH Thái Lâm, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 2 km)",1.000.000 VNĐ,5,"Homestay mang phong cách nghệ thuật, không gian riêng tư, phù hợp giới trẻ.",
15,Homestay Being Home,Không xếp hạng sao,"hẻm kế bên quán ăn LẠ, Hẻm 2 Đ. Ngô Thì Sỹ, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 2 km)",1.000.000 VNĐ,"4,3","Homestay thân thiện với không gian ấm cúng, thích hợp nghỉ dưỡng cùng gia đình.",
16,Mimi Homestay Đà Lạt,Không xếp hạng sao,"50/13 An Tôn, Cam Ly - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 2,5 km)",1.000.000 VNĐ,5,"Homestay nhỏ xinh, sạch sẽ, mang đến không gian nghỉ ngơi thoải mái.",
17,Sweet Home Dalat Homestay,Không xếp hạng sao,"181 Huyền Trân Công Chúa, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 3 km)",1.000.000 VNĐ,"4,4","Homestay ấm cúng, phù hợp gia đình và nhóm bạn, đầy đủ tiện nghi.",
18,LaHaHa Homestay Đà Lạt,Không xếp hạng sao,"19/3 Đường Ngô Thì Nhậm, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 2 km)",1.000.000 VNĐ,5,"Homestay phong cách trẻ trung, không gian đẹp và riêng tư, phù hợp cặp đôi và nhóm bạn.",
19,Alee DaLat Homestay,Không xếp hạng sao,"84 Đường Nguyễn An Ninh, Cam Ly - Đà Lạt, Lâm Đồng.(Cách trung tâm khoảng 2 km)",1.050.000 VNĐ,"4,8","Homestay hiện đại, sạch sẽ, được đánh giá cao về sự thân thiện và tiện nghi.",
20,Feliz Dalat Homestay,Không xếp hạng sao,"Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng.(Cách Chợ Đà Lạt khoảng 800 m.)",1.050.000 VNĐ,"4,9","Homestay có thiết kế ấm áp, không gian thoải mái, thích hợp nghỉ dưỡng.",
